time,ibus,machid,pg,qg,qt,qb,vs,ireg,nreg,mbase,zr,zx,rt,xt,gtap,stat,rmpct,pt,pb,o1,f1,wmod,wpf
0,1,1,,,,,1,0,0,,,,,,,,,,,,,2,0.5
300,1,1,0.0198698935614292,0,0.05,-0.05,1,0,0,,,,,,,,,0.0198698935614292,0,,,2,0.5
600,1,1,0.0160540053841577,0,0.05,-0.05,1,0,0,,,,,,,,,0.0160540053841577,0,,,2,0.5
900,1,1,0.0209904509917789,0,0.05,-0.05,1,0,0,,,,,,,,,0.0209904509917789,0,,,2,0.5
1200,1,1,0.0160941586552399,0,0.05,-0.05,1,0,0,,,,,,,,,0.0160941586552399,0,,,2,0.5
1500,1,1,0.0206802480888904,0,0.05,-0.05,1,0,0,,,,,,,,,0.0206802480888904,0,,,2,0.5
1800,1,1,0.0215998844146652,0,0.05,-0.05,1,0,0,,,,,,,,,0.0215998844146652,0,,,2,0.5
2100,1,1,0.0243658252124206,0,0.05,-0.05,1,0,0,,,,,,,,,0.0243658252124206,0,,,2,0.5
2400,1,1,0.0238364178398632,0,0.05,-0.05,1,0,0,,,,,,,,,0.0238364178398632,0,,,2,0.5
2700,1,1,0.021941734101661,0,0.05,-0.05,1,0,0,,,,,,,,,0.021941734101661,0,,,2,0.5
3000,1,1,0.0206529236573926,0,0.05,-0.05,1,0,0,,,,,,,,,0.0206529236573926,0,,,2,0.5
3300,1,1,0.0163822575161442,0,0.05,-0.05,1,0,0,,,,,,,,,0.0163822575161442,0,,,2,0.5
3600,1,1,0.0180194406601077,0,0.05,-0.05,1,0,0,,,,,,,,,0.0180194406601077,0,,,2,0.5
3900,1,1,0.0203531822081668,0,0.05,-0.05,1,0,0,,,,,,,,,0.0203531822081668,0,,,2,0.5
4200,1,1,0.0201019323140678,0,0.05,-0.05,1,0,0,,,,,,,,,0.0201019323140678,0,,,2,0.5
4500,1,1,0.0234453068373952,0,0.05,-0.05,1,0,0,,,,,,,,,0.0234453068373952,0,,,2,0.5
4800,1,1,0.0210751656094055,0,0.05,-0.05,1,0,0,,,,,,,,,0.0210751656094055,0,,,2,0.5
5100,1,1,0.0243169198502657,0,0.05,-0.05,1,0,0,,,,,,,,,0.0243169198502657,0,,,2,0.5
5400,1,1,0.0207996344375846,0,0.05,-0.05,1,0,0,,,,,,,,,0.0207996344375846,0,,,2,0.5
5700,1,1,0.0185471075790893,0,0.05,-0.05,1,0,0,,,,,,,,,0.0185471075790893,0,,,2,0.5
6000,1,1,0.0164705760135488,0,0.05,-0.05,1,0,0,,,,,,,,,0.0164705760135488,0,,,2,0.5
6300,1,1,0.0210954995591693,0,0.05,-0.05,1,0,0,,,,,,,,,0.0210954995591693,0,,,2,0.5
6600,1,1,0.0199712533138671,0,0.05,-0.05,1,0,0,,,,,,,,,0.0199712533138671,0,,,2,0.5
6900,1,1,0.0189473748168457,0,0.05,-0.05,1,0,0,,,,,,,,,0.0189473748168457,0,,,2,0.5
7200,1,1,0.0226446908353083,0,0.05,-0.05,1,0,0,,,,,,,,,0.0226446908353083,0,,,2,0.5
7500,1,1,0.0201229669918919,0,0.05,-0.05,1,0,0,,,,,,,,,0.0201229669918919,0,,,2,0.5
7800,1,1,0.0163868586662932,0,0.05,-0.05,1,0,0,,,,,,,,,0.0163868586662932,0,,,2,0.5
8100,1,1,0.0219324825147143,0,0.05,-0.05,1,0,0,,,,,,,,,0.0219324825147143,0,,,2,0.5
8400,1,1,0.0192685773279391,0,0.05,-0.05,1,0,0,,,,,,,,,0.0192685773279391,0,,,2,0.5
8700,1,1,0.0264492218213003,0,0.05,-0.05,1,0,0,,,,,,,,,0.0264492218213003,0,,,2,0.5
9000,1,1,0.0208944325581133,0,0.05,-0.05,1,0,0,,,,,,,,,0.0208944325581133,0,,,2,0.5
9300,1,1,0.0222746082985441,0,0.05,-0.05,1,0,0,,,,,,,,,0.0222746082985441,0,,,2,0.5
9600,1,1,0.0229467678259559,0,0.05,-0.05,1,0,0,,,,,,,,,0.0229467678259559,0,,,2,0.5
9900,1,1,0.018295704246457,0,0.05,-0.05,1,0,0,,,,,,,,,0.018295704246457,0,,,2,0.5
10200,1,1,0.018432496417152,0,0.05,-0.05,1,0,0,,,,,,,,,0.018432496417152,0,,,2,0.5
10500,1,1,0.0171980997078237,0,0.05,-0.05,1,0,0,,,,,,,,,0.0171980997078237,0,,,2,0.5
10800,1,1,0.0218964852837562,0,0.05,-0.05,1,0,0,,,,,,,,,0.0218964852837562,0,,,2,0.5
11100,1,1,0.0192216684871193,0,0.05,-0.05,1,0,0,,,,,,,,,0.0192216684871193,0,,,2,0.5
11400,1,1,0.0198004031600655,0,0.05,-0.05,1,0,0,,,,,,,,,0.0198004031600655,0,,,2,0.5
11700,1,1,0.0166739698456956,0,0.05,-0.05,1,0,0,,,,,,,,,0.0166739698456956,0,,,2,0.5
12000,1,1,0.0220847139023436,0,0.05,-0.05,1,0,0,,,,,,,,,0.0220847139023436,0,,,2,0.5
12300,1,1,0.0250389986470708,0,0.05,-0.05,1,0,0,,,,,,,,,0.0250389986470708,0,,,2,0.5
12600,1,1,0.0203030244337257,0,0.05,-0.05,1,0,0,,,,,,,,,0.0203030244337257,0,,,2,0.5
12900,1,1,0.0225341360240723,0,0.05,-0.05,1,0,0,,,,,,,,,0.0225341360240723,0,,,2,0.5
13200,1,1,0.0199189409903123,0,0.05,-0.05,1,0,0,,,,,,,,,0.0199189409903123,0,,,2,0.5
13500,1,1,0.0208065751499031,0,0.05,-0.05,1,0,0,,,,,,,,,0.0208065751499031,0,,,2,0.5
13800,1,1,0.0246684555248393,0,0.05,-0.05,1,0,0,,,,,,,,,0.0246684555248393,0,,,2,0.5
14100,1,1,0.0187160235309671,0,0.05,-0.05,1,0,0,,,,,,,,,0.0187160235309671,0,,,2,0.5
14400,1,1,0.0167099304821893,0,0.05,-0.05,1,0,0,,,,,,,,,0.0167099304821893,0,,,2,0.5
14700,1,1,0.0197026273902406,0,0.05,-0.05,1,0,0,,,,,,,,,0.0197026273902406,0,,,2,0.5
15000,1,1,0.0203885228756506,0,0.05,-0.05,1,0,0,,,,,,,,,0.0203885228756506,0,,,2,0.5
15300,1,1,0.0203198228700823,0,0.05,-0.05,1,0,0,,,,,,,,,0.0203198228700823,0,,,2,0.5
15600,1,1,0.0224721665382405,0,0.05,-0.05,1,0,0,,,,,,,,,0.0224721665382405,0,,,2,0.5
15900,1,1,0.0158213622344364,0,0.05,-0.05,1,0,0,,,,,,,,,0.0158213622344364,0,,,2,0.5
16200,1,1,0.0216110078232698,0,0.05,-0.05,1,0,0,,,,,,,,,0.0216110078232698,0,,,2,0.5
16500,1,1,0.0205619178222629,0,0.05,-0.05,1,0,0,,,,,,,,,0.0205619178222629,0,,,2,0.5
16800,1,1,0.0217199991800121,0,0.05,-0.05,1,0,0,,,,,,,,,0.0217199991800121,0,,,2,0.5
17100,1,1,0.0242838827716576,0,0.05,-0.05,1,0,0,,,,,,,,,0.0242838827716576,0,,,2,0.5
17400,1,1,0.0158495220474406,0,0.05,-0.05,1,0,0,,,,,,,,,0.0158495220474406,0,,,2,0.5
17700,1,1,0.0210555689071975,0,0.05,-0.05,1,0,0,,,,,,,,,0.0210555689071975,0,,,2,0.5
18000,1,1,0.0204901704786198,0,0.05,-0.05,1,0,0,,,,,,,,,0.0204901704786198,0,,,2,0.5
18300,1,1,0.017797953325263,0,0.05,-0.05,1,0,0,,,,,,,,,0.017797953325263,0,,,2,0.5
18600,1,1,0.0320269116178802,0,0.05,-0.05,1,0,0,,,,,,,,,0.0320269116178802,0,,,2,0.5
18900,1,1,0.0188399577373092,0,0.05,-0.05,1,0,0,,,,,,,,,0.0188399577373092,0,,,2,0.5
19200,1,1,0.020438752943198,0,0.05,-0.05,1,0,0,,,,,,,,,0.020438752943198,0,,,2,0.5
19500,1,1,0.0178981505696897,0,0.05,-0.05,1,0,0,,,,,,,,,0.0178981505696897,0,,,2,0.5
19800,1,1,0.0197034789906012,0,0.05,-0.05,1,0,0,,,,,,,,,0.0197034789906012,0,,,2,0.5
20100,1,1,0.0155816187938041,0,0.05,-0.05,1,0,0,,,,,,,,,0.0155816187938041,0,,,2,0.5
20400,1,1,0.0213647823274559,0,0.05,-0.05,1,0,0,,,,,,,,,0.0213647823274559,0,,,2,0.5
20700,1,1,0.0171969942873342,0,0.05,-0.05,1,0,0,,,,,,,,,0.0171969942873342,0,,,2,0.5
21000,1,1,0.0225809455374375,0,0.05,-0.05,1,0,0,,,,,,,,,0.0225809455374375,0,,,2,0.5
21300,1,1,0.0203298825400017,0,0.05,-0.05,1,0,0,,,,,,,,,0.0203298825400017,0,,,2,0.5
21600,,,0.0179417500635753,0,0.05,-0.05,,,,,,,,,,,,0.0179417500635753,0,,,,
